Filename,ClassId
06541,16
00089,13
03061,38
07845,42
02711,10
11997,8
05419,12
07929,15
03670,35
08293,4
02293,10
10445,25
04958,25
03474,0
01142,3
02045,0
00126,10
05739,4
08987,18
05141,12
00142,6
00437,10
07483,1
04889,19
04916,17
08709,28
10963,38
02577,5
05816,31
07608,26
11584,4
02416,38
01739,10
10993,13
04533,12
08013,21
03782,30
06603,30
06734,2
12084,35
00692,4
06267,40
03106,31
08126,30
08406,5
02216,11
08664,11
09996,2
03101,18
08041,12
09318,17
05455,26
05435,11
12460,14
04512,0
05447,10
03087,4
10495,13
10058,3
10170,14
01305,16
11975,38
08496,13
02554,9
08139,9
08885,2
05491,3
10496,10
03702,22
02085,31
03715,33
00515,33
03404,9
09712,12
12620,13
10958,3
08247,13
09861,7
06613,5
06984,5
05066,24
09154,12
11197,12
04133,30
03603,4
11877,26
11966,16
02557,4
10918,10
02192,4
08015,10
06606,35
07056,7
02741,2
06436,33
07609,33
03384,4
02181,26
07286,28
05682,17
07206,17
11530,18
12597,10
07503,38
10560,13
10932,4
05578,33
02878,13
08592,4
09097,4
01122,35
11511,31
12304,3
03581,35
02418,4
10863,11
05431,12
04803,4
08282,28
04883,18
00566,10
09696,7
06620,9
12280,25
09565,9
08604,17
05213,14
07534,14
04432,8
00490,17
10868,2
06159,18
10955,5
07084,8
03327,13
06026,13
00130,36
03465,38
05957,4
10917,10
00009,35
02288,30
06269,23
08111,12
07016,34
02430,4
11159,4
12038,4
07181,22
00514,38
01842,2
10842,3
12608,18
00423,9
03619,2
00029,11
05826,14
06197,36
01202,25
08096,13
10242,13
08150,35
09197,10
00385,25
06713,4
11451,30
07215,14
10637,14
08708,16
09186,4
09485,25
08506,18
11003,9
05042,10
02147,18
08325,12
03466,11
03523,6
08899,31
03839,2
00892,33
11973,8
07145,3
05022,42
08373,18
04134,2
07244,13
12215,31
08610,12
10296,1
07634,4
03878,1
12141,5
11228,38
05395,7
08701,22
04698,26
07309,1
09536,20
03280,35
02564,9
01460,10
00834,28
08956,12
04526,12
04583,17
08869,39
07876,18
11251,38
11098,1
11296,10
10761,31
03956,31
00581,10
11936,36
07601,13
06578,9
02369,13
10663,2
11482,13
03775,11
09967,3
07163,3
11608,7
11684,7
11195,17
02552,10
10504,9
12275,10
04310,9
03102,25
03752,28
01833,16
11189,2
10561,4
08203,29
08740,27
02145,4
04002,12
09658,10
00888,12
00357,3
03065,17
00585,10
01982,10
06243,38
02030,10
11013,12
05507,25
11011,14
06135,2
03769,1
05995,5
08502,15
06915,10
02458,13
05210,10
12197,38
07125,25
03114,23
04356,13
01679,13
06714,17
02722,12
08594,13
09046,31
09730,5
10187,19
10508,3
01863,1
00438,8
04772,28
01204,3
03894,25
06646,18
02063,2
10947,18
05855,10
07124,1
07780,2
01853,0
05297,12
01546,2
02810,19
00422,19
10342,9
04786,23
08302,38
06062,40
10357,3
02411,9
08289,2
10104,10
12060,37
12033,13
12338,35
07459,5
06458,30
07120,10
08368,28
09283,12
03802,5
09438,1
03995,13
04351,4
07009,1
11768,20
05793,31
07951,1
00974,10
02768,25
05285,12
01138,12
05166,17
03232,11
05937,10
04998,3
09005,14
12424,10
00938,42
03028,12
08674,9
07599,38
06629,7
06009,3
02883,2
08849,18
01899,38
00808,17
10408,5
03618,10
04187,25
10610,33
05358,4
04353,18
01355,12
07557,11
04923,31
06157,6
02341,13
04984,2
09048,25
07158,17
08619,16
02990,9
03483,1
08845,14
05834,28
02482,25
04684,2
02090,31
07288,5
04250,25
07144,7
09662,9
08350,9
07325,13
11175,12
02999,5
00304,4
11555,10
07402,25
00112,16
11987,9
08937,2
07511,23
10330,18
12201,14
06858,18
05885,13
03954,38
12307,5
02538,3
04660,10
01835,2
07197,38
02572,5
02153,7
07699,9
03372,9
02599,30
02974,18
02941,16
03535,35
01585,7
07180,14
11941,5
00728,11
03684,39
08020,12
08522,9
08307,16
07231,22
01649,1
06869,5
03754,10
00561,10
07167,42
06195,3
09218,5
02719,9
01229,10
01281,1
05820,3
00874,4
11553,38
11080,4
01193,10
09002,11
05847,2
02897,10
01540,10
05598,5
03627,1
00553,13
11607,1
04051,8
04062,11
06940,38
02547,17
07361,38
10282,12
10674,26
11402,4
11353,16
05771,37
03148,35
07673,38
12525,20
05402,13
05423,15
07004,1
11484,2
03291,7
09626,12
06901,22
09755,2
11920,13
10084,38
03031,1
02653,9
02548,9
01948,17
04588,3
03703,2
07272,10
12434,16
07489,33
08480,23
07358,2
03332,7
02280,38
10681,11
01373,41
10142,28
04055,25
04856,13
02070,11
03081,13
12027,1
05352,11
01768,1
08536,1
02840,12
07881,10
06712,38
00962,12
11671,4
01388,12
01464,31
05648,5
05399,9
07588,31
03424,12
10703,8
10427,8
08835,12
08969,12
03375,13
11325,18
02877,16
00611,41
02240,1
05965,1
08704,5
06442,31
06015,5
01220,13
07031,13
06972,6
00362,13
06617,33
07723,5
09923,14
02264,13
05555,39
06859,25
03056,19
05753,5
06421,0
07373,2
09749,2
08386,2
01531,1
04676,10
00430,11
01840,27
00335,6
10871,1
02177,14
00492,1
01188,8
12104,24
12415,1
04370,5
09475,41
09599,11
05592,2
02446,26
00711,36
01714,42
08182,13
00421,4
04484,5
00525,13
07067,2
09500,7
04276,18
08304,34
11880,10
05198,3
01130,13
00775,4
05580,1
08689,38
03790,15
06969,35
08938,42
04550,38
00849,23
03313,33
07246,30
06739,25
00744,4
04837,10
01894,2
11483,34
02285,38
11155,3
00017,20
12582,3
01006,38
09630,26
07482,8
04263,12
08797,38
07463,7
00577,2
12080,1
11364,15
00923,1
12177,8
08458,34
01072,8
07044,11
00131,3
03666,31
05893,18
07798,37
